id,title,release_date,vote_average,vote_count,popularity,cast,genres,overview
803796,KPop Demon Hunters,2025-06-20,8.002,3125,47.7806,Arden Cho|May Hong|Ji-young Yoo|Ahn Hyo-seop|Yunjin Kim,Fantasy|Music|Comedy|Animation,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats."
1242898,Predator: Badlands,2025-11-05,7.827,3513,46.8654,Elle Fanning|Dimitrius Schuster-Koloamatangi|Ravi Narayan|Michael Homick|Stefan Grube,Action|Science Fiction|Adventure,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary."
1625901,The Dating App Killer: The Monica White Story,2026-02-14,7.4,5,46.8311,Lela Rochon|Jarod Joseph|Shyinne Anastacio|Princess Davis|Shanna Giannozio,Thriller|TV Movie,"A divorcee reenters the dating pool by creating an online profile, but when her match displays unsettling behavior and a series of women from the same dating site go missing, she must save herself from becoming the next victim."
1291595,Insidious: Out of the Further,2026-08-19,6.227,11,46.5651,Amelia Eve|Island Austin|Lin Shaye|Sam Spruell|Brandon Perea,Horror|Thriller,"Gemma, a young mother raising her daughter in the house she grew up in, discovers she can travel into The Further, where she possesses an ability to bring what lives there back to the real world."
1234821,Jurassic World Rebirth,2025-06-23,6.258,3670,46.4419,Scarlett Johansson|Mahershala Ali|Jonathan Bailey|Rupert Friend|Manuel Garcia-Rulfo,Science Fiction|Adventure|Action,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades."
1599993,Animals,2026-02-05,6.278,18,46.3369,Nashla Bogaert|Frank Perozo|Pamela Sued|David Maler|Camila Issa,Comedy|Thriller,"Four couples sail the thin line between desire and search for authenticity, in a world where truth is as fragile as their relationships."
1368166,The Housemaid,2025-12-18,7.273,2891,46.1067,Sydney Sweeney|Amanda Seyfried|Brandon Sklenar|Michele Morrone|Indiana Elle,Mystery|Thriller,"Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power."
1304313,Lee Cronin's The Mummy,2026-04-15,7.899,2530,45.8463,Jack Reynor|Laia Costa|May Calamawy|Natalie Grace|Shylo Molina,Horror|Mystery,"The young daughter of a journalist disappears into the desert without a trace—eight years later, the broken family is shocked when she is returned to them, as what should be a joyful reunion turns into a living nightmare."
603,The Matrix,1999-03-31,8.255,28511,45.7419,Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss|Hugo Weaving|Gloria Foster,Action|Science Fiction,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth."
1391021,Once Upon a Time in the Middle East,2026-08-08,9.235,17,45.5777,Shen Teng|Jiang Qiming|Omar Sherif|Aarif Rahman|Sherif Sabry,Drama|War,"Xu Fu travels to the Middle East to work as a chef in a Chinese restaurant to pay off family debts, where he meets floor manager Ma Junsheng. Their Dragon Restaurant rises to fame, attracting crowds with authentic‑tasting Chinese food. But war breaks out, and local conditions take a drastic turn for the worse. No one can remain unaffected. What lies ahead for them? And how will the Dragon Restaurant hold on amid the war?"
